Date,SPY,RSP,^SPXEW,^SP500EW,NG=F,HO=F,RB=F,CL=F,BZ=F,XHB,ITB,^TNX
1985-01,,,,,,,,,,,,11.170000076293945
1985-02,,,,,,,,,,,,11.90999984741211
1985-03,,,,,,,,,,,,11.649999618530273
1985-04,,,,,,,,,,,,11.40999984741211
1985-05,,,,,,,,,,,,10.279999732971191
1985-06,,,,,,,,,,,,10.25
1985-07,,,,,,,,,,,,10.569999694824219
1985-08,,,,,,,,,,,,10.279999732971191
1985-09,,,,,,,,,,,,10.3100004196167
1985-10,,,,,,,,,,,,10.010000228881836
1985-11,,,,,,,,,,,,9.59000015258789
1985-12,,,,,,,,,,,,9.0
1986-01,,,,,,,,,,,,9.079999923706055
1986-02,,,,,,,,,,,,8.130000114440918
1986-03,,,,,,,,,,,,7.389999866485596
1986-04,,,,,,,,,,,,7.380000114440918
1986-05,,,,,,,,,,,,8.050000190734863
1986-06,,,,,,,,,,,,7.349999904632568
1986-07,,,,,,,,,,,,7.340000152587891
1986-08,,,,,,,,,,,,6.949999809265137
1986-09,,,,,,,,,,,,7.449999809265137
1986-10,,,,,,,,,,,,7.340000152587891
1986-11,,,,,,,,,,,,7.150000095367432
1986-12,,,,,,,,,,,,7.230000019073486
1987-01,,,,,,,,,,,,7.179999828338623
1987-02,,,,,,,,,,,,7.190000057220459
1987-03,,,,,,,,,,,,7.510000228881836
1987-04,,,,,,,,,,,,8.210000038146973
1987-05,,,,,,,,,,,,8.489999771118164
1987-06,,,,,,,,,,,,8.380000114440918
1987-07,,,,,,,,,,,,8.65999984741211
1987-08,,,,,,,,,,,,9.0
1987-09,,,,,,,,,,,,9.630000114440918
1987-10,,,,,,,,,,,,8.880000114440918
1987-11,,,,,,,,,,,,8.989999771118164
1987-12,,,,,,,,,,,,8.829999923706055
1988-01,,,,,,,,,,,,8.260000228881836
1988-02,,,,,,,,,,,,8.15999984741211
1988-03,,,,,,,,,,,,8.569999694824219
1988-04,,,,,,,,,,,,8.869999885559082
1988-05,,,,,,,,,,,,9.199999809265137
1988-06,,,,,,,,,,,,8.819999694824219
1988-07,,,,,,,,,,,,9.119999885559082
1988-08,,,,,,,,,,,,9.25
1988-09,,,,,,,,,,,,8.869999885559082
1988-10,,,,,,,,,,,,8.649999618530273
1988-11,,,,,,,,,,,,9.0600004196167
1988-12,,,,,,,,,,,,9.140000343322754
1989-01,,,,,,,,,,,,9.010000228881836
1989-02,,,,,,,,,,,,9.319999694824219
1989-03,,,,,,,,,,,,9.300000190734863
1989-04,,,,,,,,,,,,9.020000457763672
1989-05,,,,,,,,,,,,8.600000381469727
1989-06,,,,,,,,,,,,8.100000381469727
1989-07,,,,,,,,,,,,7.820000171661377
1989-08,,,,,,,,,,,,8.260000228881836
1989-09,,,,,,,,,,,,8.3100004196167
1989-10,,,,,,,,,,,,7.920000076293945
1989-11,,,,,,,,,,,,7.840000152587891
1989-12,,,,,,,,,,,,7.929999828338623
1990-01,,,,,,,,,,,,8.430000305175781
1990-02,,,,,,,,,,,,8.510000228881836
1990-03,,,,,,,,,,,,8.649999618530273
1990-04,,,,,,,,,,,,9.039999961853027
1990-05,,,,,,,,,,,,8.600000381469727
1990-06,,,,,,,,,,,,8.430000305175781
1990-07,,,,,,,,,,,,8.359999656677246
1990-08,,,,,,,,,,,,8.859999656677246
1990-09,,,,,,,,,,,,8.819999694824219
1990-10,,,,,,,,,,,,8.649999618530273
1990-11,,,,,,,,,,,,8.260000228881836
1990-12,,,,,,,,,,,,8.079999923706055
1991-01,,,,,,,,,,,,8.029999732971191
1991-02,,,,,,,,,,,,8.020000457763672
1991-03,,,,,,,,,,,,8.050000190734863
1991-04,,,,,,,,,,,,8.020000457763672
1991-05,,,,,,,,,,,,8.0600004196167
1991-06,,,,,,,,,,,,8.239999771118164
1991-07,,,,,,,,,,,,8.199999809265137
1991-08,,,,,,,,,,,,7.820000171661377
1991-09,,,,,,,,,,,,7.46999979019165
1991-10,,,,,,,,,,,,7.46999979019165
1991-11,,,,,,,,,,,,7.380000114440918
1991-12,,,,,,,,,,,,6.710000038146973
1992-01,,,,,,,,,,,,7.309999942779541
1992-02,,,,,,,,,,,,7.269999980926514
