month,oel,fed,zins10,bewertung,hypo,haus_real,midterm,n
1976-01,0,1,1,0,0,1,0,3
1976-02,0,1,1,0,0,1,0,3
1976-03,0,0,0,0,0,1,0,1
1976-04,0,0,0,0,0,0,0,0
1976-05,0,1,0,0,0,0,0,1
1976-06,0,1,0,0,0,0,0,1
1976-07,0,1,0,0,0,0,0,1
1976-08,0,1,0,0,0,0,0,1
1976-09,0,1,0,0,0,0,0,1
1976-10,0,1,0,0,0,0,0,1
1976-11,0,1,0,0,0,0,0,1
1976-12,0,1,0,0,0,0,0,1
1977-01,0,0,0,0,0,0,0,0
1977-02,0,0,0,0,0,0,0,0
1977-03,0,0,0,0,0,0,0,0
1977-04,0,0,0,0,0,0,0,0
1977-05,0,1,0,0,0,0,0,1
1977-06,0,1,0,0,0,0,0,1
1977-07,0,1,0,0,0,0,0,1
1977-08,0,1,0,0,0,0,0,1
1977-09,0,1,0,0,0,0,0,1
1977-10,0,1,0,0,0,0,0,1
1977-11,0,1,0,0,0,0,0,1
1977-12,0,1,0,0,0,0,0,1
1978-01,0,1,0,0,0,0,1,2
1978-02,0,1,0,0,0,0,1,2
1978-03,0,1,0,0,0,0,1,2
1978-04,0,1,0,0,0,0,1,2
1978-05,0,1,0,0,0,0,1,2
1978-06,0,1,1,0,0,0,1,3
1978-07,0,1,1,0,0,0,1,3
1978-08,0,1,1,0,0,0,1,3
1978-09,0,1,1,0,0,0,1,3
1978-10,0,1,1,0,0,0,1,3
1978-11,0,1,1,0,1,0,0,3
1978-12,0,1,1,0,1,0,0,3
1979-01,0,1,1,0,1,0,0,3
1979-02,0,1,1,0,1,0,0,3
1979-03,0,1,1,0,1,0,0,3
1979-04,0,1,1,0,1,0,0,3
1979-05,0,1,1,0,1,0,0,3
1979-06,0,1,1,0,1,0,0,3
1979-07,0,1,1,0,1,0,0,3
1979-08,1,1,1,0,1,0,0,4
1979-09,1,1,1,0,1,0,0,4
1979-10,1,1,1,0,1,0,0,4
1979-11,1,1,1,0,1,0,0,4
1979-12,1,1,1,0,1,0,0,4
1980-01,1,1,1,0,1,1,0,5
1980-02,1,1,1,0,1,1,0,5
1980-03,1,1,1,0,1,1,0,5
1980-04,1,1,1,0,1,1,0,5
1980-05,1,1,1,0,1,1,0,5
1980-06,1,1,1,0,1,1,0,5
1980-07,1,1,1,0,1,1,0,5
1980-08,1,1,1,0,1,1,0,5
1980-09,1,1,0,0,1,1,0,4
1980-10,1,1,0,0,1,1,0,4
1980-11,1,1,0,0,1,1,0,4
1980-12,1,1,1,0,1,1,0,5
1981-01,1,1,1,0,1,1,0,5
1981-02,1,1,1,0,1,1,0,5
1981-03,1,1,1,0,1,1,0,5
1981-04,1,1,1,0,1,1,0,5
1981-05,1,1,1,0,1,1,0,5
1981-06,1,1,1,0,1,1,0,5
1981-07,0,1,1,0,1,1,0,4
1981-08,0,1,1,0,1,1,0,4
1981-09,0,1,1,0,1,1,0,4
1981-10,0,1,1,0,1,1,0,4
1981-11,0,1,1,0,1,1,0,4
1981-12,0,1,1,0,1,1,0,4
1982-01,0,0,1,0,1,1,1,4
1982-02,0,1,1,0,1,1,1,5
1982-03,0,1,0,0,1,1,1,4
1982-04,0,1,0,0,0,1,1,3
1982-05,0,1,0,0,1,1,1,4
1982-06,0,1,0,0,1,1,1,4
1982-07,0,1,0,0,1,1,1,4
1982-08,0,1,0,0,1,1,1,4
1982-09,0,1,0,0,1,1,1,4
1982-10,0,0,0,0,0,1,1,2
1982-11,0,0,0,0,0,1,0,1
1982-12,0,0,0,0,0,1,0,1
1983-01,0,0,0,0,0,1,0,1
1983-02,0,0,0,0,0,1,0,1
1983-03,0,0,0,0,0,1,0,1
1983-04,0,0,0,0,0,1,0,1
1983-05,0,0,0,0,0,1,0,1
1983-06,0,1,0,0,0,0,0,1
1983-07,0,1,0,0,0,0,0,1
1983-08,0,1,0,0,0,0,0,1
1983-09,0,1,0,0,0,0,0,1
1983-10,0,1,0,0,0,0,0,1
1983-11,0,1,0,0,0,0,0,1
1983-12,0,1,0,0,0,0,0,1
1984-01,0,1,0,0,0,0,0,1
1984-02,0,1,0,0,0,1,0,2
1984-03,0,1,0,0,0,1,0,2
1984-04,0,1,0,0,0,0,0,1
1984-05,0,1,0,0,0,0,0,1
1984-06,0,1,0,0,0,0,0,1
1984-07,0,1,0,0,0,0,0,1
1984-08,0,1,0,0,0,0,0,1
1984-09,0,1,0,0,0,0,0,1
1984-10,0,1,0,0,0,0,0,1
1984-11,0,1,0,0,0,0,0,1
1984-12,0,1,0,0,0,0,0,1
1985-01,0,1,0,0,0,0,0,1
1985-02,0,1,0,0,0,0,0,1
1985-03,0,0,0,0,0,0,0,0
1985-04,0,0,0,0,0,0,0,0
1985-05,0,0,0,0,0,0,0,0
1985-06,0,0,0,0,0,0,0,0
1985-07,0,0,0,0,0,0,0,0
1985-08,0,0,0,0,0,0,0,0
1985-09,0,1,0,0,0,0,0,1
1985-10,0,1,0,0,0,0,0,1
1985-11,0,1,0,0,0,0,0,1
1985-12,0,1,0,0,0,0,0,1
1986-01,0,1,0,0,0,0,1,2
1986-02,0,1,0,0,0,0,1,2
1986-03,0,1,0,0,0,0,1,2
1986-04,0,1,0,0,0,0,1,2
1986-05,0,1,0,0,0,0,1,2
1986-06,0,0,0,0,0,0,1,1
1986-07,0,0,0,0,0,0,1,1
1986-08,0,0,0,0,0,0,1,1
1986-09,0,0,0,0,0,0,1,1
1986-10,0,0,0,0,0,0,1,1
1986-11,0,0,0,0,0,0,0,0
1986-12,0,1,0,0,0,0,0,1
1987-01,0,1,0,0,0,0,0,1
1987-02,0,1,0,0,0,0,0,1
1987-03,0,1,0,1,0,0,0,2
1987-04,0,1,0,1,0,0,0,2
1987-05,0,1,0,1,0,0,0,2
1987-06,0,1,0,1,0,0,0,2
1987-07,0,1,0,1,0,0,0,2
1987-08,0,1,0,1,0,0,0,2
1987-09,0,1,0,1,0,0,0,2
1987-10,0,1,0,0,0,0,0,1
1987-11,0,1,0,0,0,0,0,1
1987-12,0,1,0,0,0,0,0,1
1988-01,0,1,0,0,0,0,0,1
1988-02,0,1,0,0,0,0,0,1
1988-03,0,1,0,0,0,0,0,1
1988-04,0,0,0,0,0,0,0,0
1988-05,0,1,0,0,0,0,0,1
1988-06,0,1,0,0,0,0,0,1
1988-07,0,1,0,0,0,0,0,1
1988-08,0,1,0,0,0,0,0,1
1988-09,0,1,0,0,0,0,0,1
1988-10,0,1,0,0,0,0,0,1
1988-11,0,1,0,0,0,0,0,1
1988-12,0,1,0,0,1,0,0,2
1989-01,0,1,0,0,1,0,0,2
1989-02,0,1,0,1,1,0,0,3
1989-03,0,1,0,0,1,0,0,2
1989-04,0,1,0,1,1,0,0,3
1989-05,0,1,0,1,0,0,0,2
1989-06,0,1,0,1,0,0,0,2
1989-07,0,1,0,1,0,0,0,2
1989-08,0,1,0,1,0,0,0,2
1989-09,0,1,0,1,0,0,0,2
1989-10,0,1,0,1,0,0,0,2
1989-11,0,0,0,1,0,0,0,1
1989-12,0,0,0,1,0,1,0,2
1990-01,0,0,0,1,0,1,1,3
1990-02,0,0,0,1,0,1,1,3
1990-03,0,0,0,1,0,1,1,3
1990-04,0,0,0,1,0,1,1,3
1990-05,0,0,0,1,0,1,1,3
1990-06,0,0,0,1,0,1,1,3
1990-07,0,0,0,1,0,1,1,3
1990-08,0,0,0,1,0,1,1,3
1990-09,1,0,0,0,0,1,1,3
1990-10,1,0,0,0,0,1,1,3
1990-11,1,0,0,0,0,1,0,2
1990-12,1,0,0,1,0,1,0,3
1991-01,1,0,0,0,0,1,0,2
1991-02,1,0,0,1,0,1,0,3
1991-03,1,0,0,1,0,1,0,3
1991-04,1,0,0,1,0,1,0,3
1991-05,1,0,0,1,0,1,0,3
1991-06,1,0,0,1,0,1,0,3
1991-07,1,0,0,1,0,1,0,3
1991-08,1,0,0,1,0,1,0,3
1991-09,1,0,0,1,0,1,0,3
1991-10,0,0,0,1,0,1,0,2
1991-11,0,0,0,1,0,1,0,2
1991-12,0,0,0,1,0,1,0,2
1992-01,0,0,0,1,0,1,0,2
1992-02,0,0,0,1,0,1,0,2
1992-03,0,0,0,1,0,1,0,2
1992-04,0,0,0,1,0,1,0,2
1992-05,0,0,0,1,0,1,0,2
1992-06,0,0,0,1,0,1,0,2
1992-07,0,0,0,1,0,1,0,2
1992-08,0,0,0,1,0,1,0,2
1992-09,0,0,0,1,0,1,0,2
1992-10,0,0,0,1,0,1,0,2
1992-11,0,0,0,1,0,1,0,2
1992-12,0,0,0,1,0,1,0,2
1993-01,0,0,0,1,0,1,0,2
1993-02,0,0,0,1,0,1,0,2
1993-03,0,0,0,1,0,1,0,2
1993-04,0,0,0,1,0,1,0,2
1993-05,0,0,0,1,0,1,0,2
1993-06,0,0,0,1,0,1,0,2
1993-07,0,0,0,1,0,1,0,2
1993-08,0,0,0,1,0,1,0,2
1993-09,0,0,0,1,0,1,0,2
1993-10,0,0,0,1,0,1,0,2
1993-11,0,0,0,1,0,1,0,2
1993-12,0,0,0,1,0,1,0,2
1994-01,0,0,0,1,0,1,1,3
1994-02,0,1,0,1,0,1,1,4
1994-03,0,1,0,1,0,0,1,3
1994-04,0,1,0,1,0,0,1,3
1994-05,0,1,0,1,0,0,1,3
1994-06,0,1,0,1,0,0,1,3
1994-07,0,1,0,1,0,0,1,3
1994-08,0,1,0,1,0,1,1,4
1994-09,0,1,0,1,0,1,1,4
1994-10,0,1,0,1,0,0,1,3
1994-11,0,1,0,1,0,1,0,3
1994-12,0,1,0,1,0,1,0,3
1995-01,0,1,0,1,1,1,0,4
1995-02,0,1,0,1,1,1,0,4
1995-03,0,1,0,1,0,1,0,3
1995-04,0,1,0,1,0,1,0,3
1995-05,0,1,0,1,0,1,0,3
1995-06,0,1,0,1,0,1,0,3
1995-07,0,1,0,1,0,1,0,3
1995-08,0,1,0,1,0,1,0,3
1995-09,0,1,0,1,0,1,0,3
1995-10,0,0,0,1,0,1,0,2
1995-11,0,0,0,1,0,1,0,2
1995-12,0,0,0,1,0,1,0,2
1996-01,0,0,0,1,0,1,0,2
1996-02,0,0,0,1,0,1,0,2
1996-03,0,0,0,1,0,1,0,2
1996-04,0,0,0,1,0,1,0,2
1996-05,0,0,0,1,0,1,0,2
1996-06,0,0,0,1,0,1,0,2
1996-07,0,0,0,1,0,1,0,2
1996-08,0,0,0,1,0,1,0,2
1996-09,0,0,0,1,0,1,0,2
1996-10,0,0,0,1,0,1,0,2
1996-11,0,0,0,1,0,1,0,2
1996-12,0,0,0,1,0,1,0,2
1997-01,0,0,0,1,0,1,0,2
1997-02,0,0,0,1,0,1,0,2
1997-03,0,0,0,1,0,1,0,2
1997-04,0,1,0,1,0,0,0,2
1997-05,0,1,0,1,0,0,0,2
1997-06,0,1,0,1,0,0,0,2
1997-07,0,1,0,1,0,0,0,2
1997-08,0,1,0,1,0,0,0,2
1997-09,0,1,0,1,0,0,0,2
1997-10,0,1,0,1,0,0,0,2
1997-11,0,0,0,1,0,0,0,1
1997-12,0,0,0,1,0,0,0,1
1998-01,0,0,0,1,0,0,1,2
1998-02,0,0,0,1,0,0,1,2
1998-03,0,0,0,1,0,0,1,2
1998-04,0,0,0,1,0,0,1,2
1998-05,0,0,0,1,0,0,1,2
1998-06,0,0,0,1,0,0,1,2
1998-07,0,0,0,1,0,0,1,2
1998-08,0,0,0,1,0,0,1,2
1998-09,0,0,0,1,0,0,1,2
